ligand_id,ligand_class,receptor_id,seed,vina,vinardo,deltavinaXGB,heavy_atom_count,pIC50
Engel_19,known_active,3DBK_holo,42,,-5.198,,21.0,6.6198
Engel_19,known_active,3DBK_holo,456,,-5.246,,21.0,6.6198
Engel_19,known_active,3DBK_holo_mean,mean_of_3,-7.5137,-5.2170000000000005,,21.0,6.6198
Engel_23,known_active,1EZM_apo,123,,-3.988,,21.0,6.2218
Engel_23,known_active,1EZM_apo,42,,-3.932,,21.0,6.2218
Engel_23,known_active,1EZM_apo,456,,-3.926,,21.0,6.2218
Engel_23,known_active,1EZM_apo_mean,mean_of_3,-5.967,-3.9486666666666665,,21.0,6.2218
Engel_23,known_active,3DBK_holo,123,,-4.902,,21.0,6.2218
Engel_23,known_active,3DBK_holo,42,,-4.915,,21.0,6.2218
Engel_23,known_active,3DBK_holo,456,,-4.841,,21.0,6.2218
Engel_23,known_active,3DBK_holo_mean,mean_of_3,-7.695,-4.886,,21.0,6.2218
Engel_3,known_active,1EZM_apo,123,,-4.18,,19.0,6.3188
Engel_3,known_active,1EZM_apo,42,,-4.218,,19.0,6.3188
Engel_3,known_active,1EZM_apo,456,,-4.204,,19.0,6.3188
Engel_3,known_active,1EZM_apo_mean,mean_of_3,-5.4433,-4.200666666666667,,19.0,6.3188
Engel_3,known_active,3DBK_holo,123,,-5.557,,19.0,6.3188
Engel_3,known_active,3DBK_holo,42,,-5.554,,19.0,6.3188
Engel_3,known_active,3DBK_holo,456,,-5.578,,19.0,6.3188
Engel_3,known_active,3DBK_holo_mean,mean_of_3,-7.7803,-5.563,,19.0,6.3188
Engel_5,known_active,1EZM_apo,123,,-3.871,,18.0,5.9208
Engel_5,known_active,1EZM_apo,42,,-3.753,,18.0,5.9208
Engel_5,known_active,1EZM_apo,456,,-3.824,,18.0,5.9208
Engel_5,known_active,1EZM_apo_mean,mean_of_3,-5.1657,-3.8160000000000003,,18.0,5.9208
Engel_5,known_active,3DBK_holo,123,,-5.239,,18.0,5.9208
Engel_5,known_active,3DBK_holo,42,,-5.236,,18.0,5.9208
Engel_5,known_active,3DBK_holo,456,,-5.234,,18.0,5.9208
Engel_5,known_active,3DBK_holo_mean,mean_of_3,-7.4323,-5.2363333333333335,,18.0,5.9208
Phosphoramidon,known_active,1EZM_apo,123,,-4.623,,37.0,6.6021
Phosphoramidon,known_active,1EZM_apo,42,,-4.647,,37.0,6.6021
Phosphoramidon,known_active,1EZM_apo,456,,-4.693,,37.0,6.6021
Phosphoramidon,known_active,1EZM_apo_mean,mean_of_3,-6.817,-4.654333333333333,,37.0,6.6021
Phosphoramidon,known_active,3DBK_holo,123,,-7.002,,37.0,6.6021
Phosphoramidon,known_active,3DBK_holo,42,,-6.93,,37.0,6.6021
Phosphoramidon,known_active,3DBK_holo,456,,-6.86,,37.0,6.6021
Phosphoramidon,known_active,3DBK_holo_mean,mean_of_3,-9.8503,-6.930666666666666,,37.0,6.6021
